sample7,,sample8,,sample9,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0151978,0.03435353935,800.0151978,0.03281328082,800.0151978,0.03175320476,
799.0057373,0.03461795673,799.0057373,0.03250065818,799.0057373,0.03141510114,
797.9959717,0.0341238901,797.9959717,0.03257291764,797.9959717,0.03163714334,
796.9857178,0.03416068852,796.9857178,0.03229761124,796.9857178,0.03147443756,
796.0099487,0.03412573785,796.0099487,0.03221575171,796.0099487,0.03179804236,
794.9989014,0.03433838114,794.9989014,0.03249767423,794.9989014,0.03157890216,
793.9874878,0.03366887197,793.9874878,0.03293026984,793.9874878,0.03139481694,
793.0105591,0.03389937431,793.0105591,0.0327709578,793.0105591,0.03140903637,
791.9983521,0.03357053176,791.9983521,0.03281981125,791.9983521,0.03103464097,
790.9857178,0.03340919688,790.9857178,0.03240509331,790.9857178,0.03175228462,
790.0076294,0.03372126818,790.0076294,0.03258246183,790.0076294,0.0314142406,
788.9942627,0.03372708708,788.9942627,0.03258179128,788.9942627,0.03172301501,
788.0154419,0.033735957,788.0154419,0.03298788145,788.0154419,0.03130736575,
787.0012817,0.03356194869,787.0012817,0.03289502859,787.0012817,0.0316529572,
785.9865723,0.0330793038,785.9865723,0.03238919377,785.9865723,0.03132648021,
785.0067139,0.03334778175,785.0067139,0.0324431099,785.0067139,0.03147777542,
783.991272,0.03321771324,783.991272,0.03231618553,783.991272,0.03118886612,
783.010498,0.03321653977,783.010498,0.03206158057,783.010498,0.03129565343,
781.9944458,0.0333157517,781.9944458,0.03223593533,781.9944458,0.0312817432,
781.0128784,0.03271393105,781.0128784,0.03200052306,781.0128784,0.03121556714,
779.9960327,0.03315252811,779.9960327,0.03198466823,779.9960327,0.03084575757,
779.0137329,0.03266944364,779.0137329,0.03232837096,779.0137329,0.03163928539,
777.9960327,0.03281059861,777.9960327,0.03217468783,777.9960327,0.03110838123,
777.0130615,0.03280470893,777.0130615,0.0319821015,777.0130615,0.03121973947,
775.9945679,0.0326536186,775.9945679,0.03197276965,775.9945679,0.03165390342,
775.0108032,0.03302550316,775.0108032,0.03206938133,775.0108032,0.03131715953,
773.9916382,0.03269595653,773.9916382,0.0321030803,773.9916382,0.03176760301,
773.0070801,0.03289941326,773.0070801,0.03248425573,773.0070801,0.0314861238,
771.9870605,0.03323255107,771.9870605,0.03203365579,771.9870605,0.03142459318,
771.0018921,0.03339119256,771.0018921,0.03215868771,771.0018921,0.03146965057,
770.0162964,0.03328201547,770.0162964,0.03260685131,770.0162964,0.03210530803,
768.9950562,0.03370823339,768.9950562,0.0327132903,768.9950562,0.03245412931,
768.0087891,0.03393592685,768.0087891,0.03345837444,768.0087891,0.03242564946,
766.9868164,0.03432269394,766.9868164,0.03358384594,766.9868164,0.03303569928,
765.9997559,0.03458647802,765.9997559,0.0337359868,765.9997559,0.0330879055,
765.0123291,0.03495637327,765.0123291,0.03429465368,765.0123291,0.03339295462,
763.9892578,0.03514545411,763.9892578,0.03491426632,763.9892578,0.03423034027,
763.0010986,0.03572415188,763.0010986,0.03508042544,763.0010986,0.03447341174,
762.0126343,0.03565810993,762.0126343,0.03533313051,762.0126343,0.03408443928,
760.9883423,0.03567083925,760.9883423,0.03558912501,760.9883423,0.03458872065,
759.9991455,0.0356865488,759.9991455,0.03516964987,759.9991455,0.03436261788,
759.0095825,0.03554883599,759.0095825,0.03525743261,759.0095825,0.03358272836,
757.9841919,0.03532038257,757.9841919,0.03461647406,757.9841919,0.03349981084,
756.9938965,0.03507862985,756.9938965,0.03447851166,756.9938965,0.03326793015,
756.0031738,0.03427454084,756.0031738,0.03378007933,756.0031738,0.03289357573,
755.012085,0.03396721929,755.012085,0.03363225982,755.012085,0.03239011392,
753.9852905,0.03399457037,753.9852905,0.03341369703,753.9852905,0.03208437562,
752.9934692,0.0338281244,752.9934692,0.03328067437,752.9934692,0.03186132759,
752.0013428,0.03391014785,752.0013428,0.03332240134,752.0013428,0.03193919361,
751.0089111,0.03394426778,751.0089111,0.03323811293,751.0089111,0.03213761374,
750.0160522,0.03388400748,750.0160522,0.03324828669,750.0160522,0.03183795884,
748.9873657,0.03383545578,748.9873657,0.03307988867,748.9873657,0.03213390708,
747.9937744,0.03371925652,747.9937744,0.03306299075,747.9937744,0.03196115047,
746.9998779,0.0334834829,746.9998779,0.03308374435,746.9998779,0.03182912618,
746.0055542,0.03334009647,746.0055542,0.03271527216,746.0055542,0.03149542212,
745.0108643,0.03334308788,745.0108643,0.03244280443,745.0108643,0.03091674112,
744.0159302,0.03262870014,744.0159302,0.03193069622,744.0159302,0.03058615141,
742.9850464,0.03180096671,742.9850464,0.0313558057,742.9850464,0.02993007936,
741.9893799,0.03152965754,741.9893799,0.03079584613,741.9893799,0.02934306674,
740.9933472,0.03079090081,740.9933472,0.03028509393,740.9933472,0.02863970399,
